;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxy
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
a 工
se 杉
sf 票
sg 本
sh 相
si 档
sj 查
sk 可
sl 柬
sm 贾
sn 札
so 杰
sp 枕
sq 构
sr 析
ss 林
st 枚
su 样
sv 根
sw 机
sx 楷
sy 术
ta 长
tb 秀
tc 么
td 知
te 务
tf 等
tg 年
th 处
ti 秒
tj 得
tk 各
tl 备
tm 身
tn 乐
to 秋
tp 乏
tq 稳
tr 稀
ts 条
tt 秩
tu 冬
tv 委
tw 答
tx 每
ty 入
ua 并
ub 疗
uc 痛
ud 头
ue 前
uf 斗
ug 半
uh 着
ui 冰
uj 间
uk 问
ul 闸
um 端
un 闷
uo 普
uq 次
ur 交
us 亲
ut 道
uu 立
uv 妆
uw 闪
ux 北
uy 六
up 竤
va 既
vb 好
vc 妈
vd 姑
ve 姐
vf 寻
vg 建
vh 肃
vi 录
vj 旭
vk 如
vl 姻
vm 姗
vn 恳
vo 灵
vp 退
vq 婚
vr 婢
vs 杂
vt 九
vu 嫌
vv 妇
vw 妗
vx 姆
vy 妨
wa 代
wb 他
wc 公
wd 估
we 佣
wf 什
wg 全
wh 个
wi 偿
wj 介
wk 保
wl 佃
wm 仙
wn 亿
wo 伙
wp 伫
wq 你
wr 风
ws 休
wt 八
wu 们
wv 分
ww 从
wx 化
wy 信
xa 红
xb 级
xc 弘
xd 顷
xe 组
xf 结
xg 线
xh 引
xi 纱
xj 旨
xk 强
xl 细
xm 贯
xn 纪
xo 继
xp 综
xq 约
xr 绵
xs 缚
xt 乡
xu 弱
xv 绍
xw 给
xx 比
xy 纺
ya 试
yb 享
yc 充
yd 诚
ye 衣
yf 计
yg 证
yh 让
yi 就
yj 刘
yk 训
yl 亩
ym 市
yn 记
yo 亦
yp 亮
yq 询
yr 义
ys 订
yt 放
yu 详
yv 良
yw 认
yx 率
yy 方
aad 匿
aah 芽
aan 苣
aat 荛
aau 藏
abe 荫
abi 蒸
abm 茁
abn 芤
abu 萨
aby 芨
aca 茎
ack 苔
acn 茅
ada 莽
adb 苊
adc 茇
adf 蓐
adg 葳
adh 荐
adk 若
adm 项
adw 葚
adx 茏
aeb 菔
aee 荔
aeg 苴
aek 茄
aer 藐
aes 菜
aet 散
aeu 藤
aev 荽
aew 苏
afa 鞯
afc 靶
afd 薷
afe 勒
afi 蒜
afj 靼
afk 薹
afl 蕾
afm 贰
afn 苇
afp 鞍
afq 芜
afr 靳
afs 藉
aft 著
afu 蔷
afw 鞭
afy 甙
aga 荆
age 菁
agf 芋
agh 蔫
agj 蕙
agm 芾
agq 葬
ags 茉
agt 廾
agv 萋
agx 荑
ahd 菲
ahg 蘧
ahi 菽
ahk 颐
ahn 臣
aht 邪
ahx 茈
aia 茳
aib 范
aie 菹
aig 萍
aii 莎
aik 藻
ain 荡
aiq 鸫
air 蒎
ais 蒲
ait 蔽
aiy 茫
ajb 蕞
ajd 莫
aje 萌
ajl 蔓
ajq 葛
ajt 蓝
ajv 郾
akb 葺
akg 勤
akh 匮
akk 颧
akm 莴
aku 燕
ala 蔑
ald 茵
alf 薯
aln 葸
alp 莲
alq 萝
alt 菌
alv 匦
amd 英
amf 苒
amg 茼
amh 匝
amk 苘
amq 苋
amw 黄
ana 苠
anf 蔚
anh 蔬
ank 薜
anm 贳
ann 蕊
anw 蓼
any 忒
aoa 蔗
aos 蘼
aov 蒌
apd 菪
ape 劳
apf 蒙
apg 莹
api 荥
apj 萤
apk 营
apl 荤
apn 茕
apo 荧
apq 菀
aps 荣
apt 荦
apw 蓉
apx 萦
aqa 芪
aqb 苑
aqe 萏
aqg 蓟
aqj 荀
aqk 警
aqn 苞
aqo 菊
aqr 葱
aqs 葡
aqt 萄
aqw 芡
aqy 芍
arc 葩
ard 菝
arg 瓯
arq 欧
art 萆
arw 殴
asg 苯
ash 葙
asj 蕈
ask 苛
asr 菥
asw 菘
ata 苌
atb 莠
atd 医
atf 芊
atg 董
ath 蓰
atj 莉
atl 蓖
atm 薇
atn 薛
ato 蕃
atq 藜
atr 莪
atv 萎
atx 蘩
aua 臧
aub 蒴
auk 菩
auq 茨
aur 茭
aus 薪
aut 蒺
auv 蒹
auw 蔺
avd 菇
avf 荨
avh 萧
avk 茹
avy 芄
awb 苍
awc 蓊
awd 茯
awf 蔡
awg 葵
awh 莜
awj 芥
awk 葆
awn 巷
aws 茶
awt 荏
awu 莅
awv 芬
aww 巫
awx 花
awy 恐
axa 荭
axf 荮
axg 莼
axj 蕴
axt 芗
axx 芘
ayc 茺
ayh 苄
ayj 蔼
ayk 蓑
aym 蒿
ayn 芦
ayp 葶
ayq 鸢
ayr 蓠
ayt 蔟
ayu 蒂
ayv 莨
ayw 萃
ayx 蓄
bbc 陬
bca 陉
bcc 聂
bci 聚
bcl 盈
bcv 娶
bda 隋
bde 随
bdj 陌
bdm 颇
bdx 陇
beg 阻
bfd 孺
bfh 陡
bfj 阱
bfq 阮
bfw 陵
bgb 陆
bgh 耳
bgk 隔
bgm 陋
bgq 阢
bgu 陕
bhg 蚩
bhh 骘
bhn 鼐
bib 函
big 卺
bij 隙
bip 逊
bjf 陧
bjm 隅
bjx 隰
bkc 亟
bkh 聩
bkm 陨
ble 勐
blg 隈
bmf 祟
bmg 聘
bmo 粜
bpf 院
bpq 耽
bps 聍
bpx 陀
bqe 陷
bqn 孢
bqt 聊
bqv 隐
brc 阪
brg 隍
brq 隗
brt 陴
btd 聒
btf 阡
btg 隆
bth 阼
bue 隧
buj 障
buk 陪
buw 隘
bwf 附
bwg 除
bwj 阶
bwy 聆
byn 孩
cad 颈
cae 劲
cap 迳
cay 巯
ccc 又
cdd 叁
cde 毵
cdl 畚
cds 犄
cee 勇
cep 通
cex 熊
cfn 犊
cga 驱
cgb 骤
cgc 驭
cgd 骑
cge 驵
cgg 骊
cgj 骒
cgk 驯
cgl 骡
cgm 骋
cgn 骣
cgp 驼
cgq 驹
cgr 驳
cgs 骠
cgt 骄
cgu 骈
cgw 验
cgy 驴
ckb 邰
ckn 怠
cko 炱
ckp 迨
cnh 巴
cqg 鸡
cqw 欢
ctf 牿
ctg 牲
cvg 犍
cwt 皴
cyj 蚤
cym 犒
cyn 犏
dah 砑
dai 礴
daj 厝
dam 砸
dan 碟
dap 礞
dar 奁
dat 硗
dav 砌
daw 礤
day 硭
dbd 顾
dbm 础
dcc 磉
dcd 碜
dcg 码
dcw 雄
ddd 磊
ddg 碱
ddh 厦
ddl 厣
ddm 硕
ddr 魇
ddw 厮
deb 郁
dee 髦
def 髻
deh 髭
del 鬟
dem 髯
dep 鬃
deq 鹕
deu 鬈
dev 髫
dew 髹
dfa 奔
dfc 磕
dfe 辰
dff 奎
dfi 奈
dfn 砖
dft 奢
dfy 压
dga 研
dgb 砘
dgh 古
dgj 硬
dgk 咸
dgl 礓
dgm 碛
dgq 厉
dgu 砰
dgv 威
dgx 碡
dha 戛
dhb 存
dhd 慧
dhe 甭
dhg 歪
dhi 蹙
dhq 艳
dht 夏
dhv 契
dia 磲
die 硝
djb 厚
djf 厘
djg 碍
djh 砷
djn 奄
djq 碣
dma 碘
dmd 碳
dmf 碉
dmg 硐
dmh 布
dmj 厕
dmq 砚
dna 碾
dnh 嘏
dnj 尴
dnl 盛
dnq 尥
dnr 砀
dnw 尬
dny 尤
dol 盔
doq 磷
dpg 碹
dpq 碗
dpt 牵
dpx 砣
dqa 砥
dqd 兢
dqe 确
dqg 鸪
dqw 砍
dri 愿
drr 爽
drt 碑
dsh 厢
dsj 碴
dsk 奇
dtb 邦
dtf 寿
dth 砟
dtk 硌
dtl 硇
dtn 砾
dtp 砭
dtr 硪
dua 磋
dub 劂
duc 磙
duj 鹩
duk 碚
duo 碰
dux 磁
dva 厩
dvi 碌
dwa 砼
dwe 期
dwf 基
dwg 奉
dwj 春
dwq 欺
dwr 斯
dwt 秦
dww 雁
dwx 綦
dwy 矾
dxj 砩
dxx 砒
dxy 聋
dyb 礅
dyc 硫
dyn 态
dyu 磅
dyw 碎
eaf 腻
eai 胨
eap 朦
eaw 毁
ebb 郛
ebn 乳
eca 胫
eck 胎
ect 毪
edc 肱
edf 胯
edh 胚
edj 貊
edl 腼
edw 腠
edx 胧
edy 肽
eeb 脬
eee 月
eeq 鹏
eew 胁
efc 肢
efj 肼
efk 膨
efm 腩
efn 肟
efp 脖
efq 朊
eft 豺
egb 肫
egc 县
egd 爰
ege 助
egk 膈
egm 肺
egw 雎
egx 胰
ehc 叟
ehd 腓
ehh 胩
ehn 胪
eig 胱
eil 盥
ejl 腽
ejt 腥
ekc 驾
ekh 肿
ekk 腭
ekm 贺
ekp 迦
eks 架
eky 袈
eld 胭
ele 舅
eln 腮
elv 爵
ema 腆
emg 胴
emw 肭
eni 脲
enr 肠
enu 鼠
eoo 毯
eoq 膦
eou 臁
eow 腑
epc 受
epd 爱
epe 脓
epf 腙
epg 腚
epq 腕
epr 膑
epv 胺
epw 腔
eqa 胝
eqd 脆
eqg 氇
eqk 朐
eqn 胞
eqo 舄
eqw 肷
eqy 豹
erc 胍
eri 腺
erq 邈
ers 脎
ert 脾
ese 彩
esf 膊
esv 腰
esw 膝
eta 胀
etf 遥
etg 胜
eth 臼
etj 腹
etk 胳
etl 貔
ett 彡
ety 豸
eua 胼
eud 朕
eug 胖
euj 臆
euk 脱
euo 氆
euu 膳
evg 毽
evk 貂
evp 腿
ewc 股
ewe 胗
ewf 脍
ewg 脸
ews 貅
eww 脞
exd 奚
eyj 脐
eyl 膻
eyn 脉
eyr 脑
eyu 膀
eyw 肮
eyx 臃
fae 霰
faf 霸
fak 哉
fal 载
fam 贲
fan 堞
fas 栽
faw 塔
fay 裁
fby 圾
fcb 却
fce 动
fcl 盍
fcn 翅
fcp 运
fcr 魂
fct 埃
fde 雳
fdf 震
fdh 坏
fdj 埯
fdm 需
fdr 塬
fdw 堪
fdx 垅
fee 堋
fef 埒
fej 霾
feq 霓
ffc 坛
ffh 填
ffi 款
ffn 雩
fft 堵
ffu 墙
fgc 垤
fgf 圩
fgh 士
fgj 垣
fgk 塥
fgo 垭
fgu 坪
fha 越
fhb 趣
fhd 霏
fhe 趄
fhf 矗
fhh 赴
fhi 趟
fhk 坫
fhl 盐
fhn 起
fho 墟
fhq 趋
fhr 赵
fht 趱
fhv 超
fhw 真
fie 霄
fig 霈
fiv 墚
fja 戟
fje 朝
fjf 埋
fjg 坦
fjh 坤
fjl 墁
fjn 塌
fjp 进
fjq 埸
fjt 乾
fjw 翰
fkd 颉
fke 袁
fkg 埕
fkk 酃
fkm 埚
fku 喜
fly 塄
fmg 垌
fmn 垲
fmu 献
fnh 韦
fni 墀
fnk 霹
fnu 卖
fnw 块
fnx 坭
fny 专
fob 郝
fof 赫
fov 塘
fpb 勃
fpf 垸
fpg 壹
fpl 毂
fpo 壶
fpw 壳
fpx 索
fqa 坻
fqd 顽
fqk 鼋
fqn 雹
fqp 远
fqu 均
fqw 坎
frc 坂
frt 埤
fry 坼
fsa 耢
fsb 耔
fsc 耙
fsd 耨
fse 耗
fsf 博
fsh 霜
fsj 耦
fsk 坷
fsn 耜
fso 耱
fss 霖
fsw 耠
ftb 孝
ftd 嫠
fte 雾
ftf 霆
ftg 考
fth 埏
ftj 者
ftm 垧
ftn 埠
ftx 老
fue 丧
fuf 幸
fuj 境
fuk 培
ful 啬
fuv 霎
fvi 埭
fvp 埽
fwf 逵
fwn 堠
fws 垛
fww 赍
fwy 堆
fyb 墩
fyj 霁
fyk 壤
fyn 垓
fyp 壕
fyr 垴
fyw 坑
gab 邢
gae 形
gah 武
gak 瑾
gal 盏
gam 瑛
gaw 珙
gbn 屯
gcf 至
gcg 玛
gde 瑚
gdh 环
gdj 蚕
gdk 吞
gdm 顼
gdn 忝
gds 琦
gdw 琪
gdx 珑
geg 瑗
gek 珈
gem 靓
gep 逐
geq 静
get 瑶
gfc 珐
gfl 盂
gfn 玮
gfp 迂
gfq 玩
ggc 琶
gge 琢
ggg 王
ggi 球
ggj 替
ggl 辇
ggn 瑟
ggw 琴
ggx 琵
ggy 珏
ghg 焉
ghk 玷
ghn 忑
ghq 璨
ght 政
ghw 琥
gim 琐
giy 裘
gjg 亘
gjh 惠
gjr 更
gjx 琨
gkh 囊
gkl 副
gkm 融
gkp 带
gkr 吏
gku 豆
glp 琏
gma 遭
gmd 瑞
gmf 再
gmm 珊
gmq 规
gmw 丙
gmy 丽
gna 珉
gnd 琚
gng 欤
gnh 瑕
gnn 瓦
gof 垩
goj 晋
gon 恶
goo 琰
got 严
gou 璞
gov 瑭
gpf 琮
gpl 珲
gpq 琬
gqb 殛
gqc 殆
gqe 殍
gqf 殖
gqg 残
gqj 列
gqk 趸
gqm 殃
gqp 迈
gqq 殉
gqt 殊
gqu 殚
gqw 殁
gqx 死
gqy 玖
grd 碧
grq 瑰
gsk 珂
gss 琳
gtf 珠
gtg 珩
gtk 珞
gtl 璁
gud 夹
guf 平
guj 璋
gus 赉
gvt 瑙
gwa 玳
gwg 瑜
gwv 玢
gwy 玲
gxh 纛
gxi 素
gxw 夷
gyc 琉
gyg 斑
gyi 琼
gyr 璃
gyt 班
gyv 琅
hag 虐
hal 瞄
har 眍
hck 眙
hcw 睃
hdf 睚
hdh 悲
heh 瞍
hep 瞬
heq 睨
hes 睬
hfc 歧
hff 眭
hft 睹
hgb 盹
hge 遽
hgf 盱
hgh 凸
hgu 睐
hgv 睫
hhd 频
hhg 止
hhh 目
hhl 丨
hhw 矍
hhx 眦
hic 督
hip 瞠
hit 眇
hjs 桌
hka 战
hkg 虞
hkm 觇
hkn 乩
hko 点
hln 卣
hlr 鹾
hna 眠
hnb 瞰
hnd 鼎
hnh 凹
hnq 鸬
hnt 瞩
hom 觑
hoq 瞵
hpg 壑
hpj 瞑
hpq 眈
hqc 粲
hqd 瞻
hqi 眺
hqq 眵
hqv 睁
hsf 瞟
hto 瞅
htp 眨
hux 睇
hwb 齿
hwe 彪
hwg 瞪
hwy 瞧
hxd 砦
hxf 些
hxm 赀
hxq 觜
hxs 柴
hxw 雌
hxx 紫
hxy 訾
iad 漭
iag 懑
iaj 漠
iak 灌
iam 潢
iap 涝
iaq 鸿
iar 沤
ias 柒
iat 浇
iav 沏
iaw 洪
ibc 滠
ibe 泐
ibi 涵
ibv 婆
ibw 滁
iby 汲
ica 泾
icd 渗
ice 涌
icg 泽
ick 治
icw 滩
icy 汊
ide 湖
idf 涯
idh 滟
idi 尜
idj 淹
idl 湎
idr 源
idt 涛
idu 潦
idw 湛
idx 泷
idy 汰
ieb 浮
iec 淝
iee 滔
ieg 沮
ieh 溲
iej 削
iep 逍
iet 淫
iex 溪
ifa 灞
ifc 法
ifd 濡
ifj 潮
ifk 洁
ifn 污
ifp 渤
ifq 沅
ift 渚
iga 浅
igb 沌
igd 添
ige 清
igh 沔
igj 洹
igk 滞
igm 渍
igq 洌
igs 沫
igu 浃
igw 兴
ihh 涉
ihi 淑
ihj 淖
ihk 沾
ihm 浈
ihn 滤
ihq 瀣
iht 滹
ihw 濉
iie 消
iii 淼
iim 淌
iit 沙
ija 瀑
ijl 温
ijn 溻
ijo 湿
ijq 渴
ijt 滥
ijx 混
ijy 灏
ike 涓
ikh 潞
ikj 渑
ikk 澡
ikm 涡
ild 涸
ile 渭
ilf 涠
ilk 洄
ilp 涟
ilw 泅
ilx 漯
ima 澧
imd 湍
ime 滑
img 溅
imj 测
imk 尚
imw 涔
ina 泯
inb 潺
inf 漏
ing 渥
inh 湄
inm 涮
inr 汤
int 泌
inw 濯
inx 泥
iol 瀵
ioo 淡
iou 濂
iov 溏
iox 漉
ipa 黉
ipb 学
ipe 浓
ipf 尝
ipg 泻
ipi 泶
ipj 渖
ipk 常
ipl 浑
ipm 觉
ipn 涫
ipq 沈
ipr 滨
ips 泞
ipt 喾
ipu 滓
ipw 沉
ipx 沱
iqd 澹
iqi 洮
iqj 洵
iqk 浼
iqm 涣
iqn 泡
iqt 淘
irb 汹
ird 淆
ire 派
irr 浙
irw 浜
iry 激
isf 漂
isj 潭
isk 河
isr 淅
iss 淋
isw 漆
ita 弊
itb 沲
itd 活
ite 滗
itf 洗
itg 洚
ith 省
iti 潲
itk 洛
itl 洫
itm 澳
itn 憋
ito 潘
itp 泛
itq 鳖
its 涤
itx 海
iub 溯
iuc 滚
iue 湔
iuj 漳
iuk 涪
ius 澜
iuw 溢
iux 滋
iva 溉
ivf 浔
ivi 渌
ivk 沼
ivl 淄
ivp 浸
ivs 染
ivw 梁
ivy 涩
iwb 沧
iwe 脊
iwf 浍
iwg 洽
iwk 沿
iwo 濮
iwr 滏
iwv 汾
iww 浴
iwx 沦
iwy 淮
ixc 泓
ixj 沸
ixu 溺
ixw 潍
iyb 淳
iyc 流
iye 瀛
iyg 注
iyh 汴
iyj 浏
iyl 澶
iyn 沪
iyo 湾
iyp 濠
iyr 漓
iyt 洲
iyu 滴
iyv 浪
iyw 液
iyx 泫
jad 蟒
jah 蚜
jaj 蜡
jak 蜮
jal 蠛
jam 蟥
jan 蝶
jap 蠓
jat 蛲
jaw 暴
jbl 蜢
jce 肾
jcf 蛏
jcg 蚂
jcm 贤
jct 蛑
jcu 竖
jcx 紧
jde 蝴
jdf 蝰
jdh 蚌
jdn 晟
jdr 螈
jdw 蝽
jeb 蜉
jeg 暖
jeh 螋
jel 盟
jep 暧
jfc 野
jff 蛙
jfk 蟛
jfm 蝻
jft 暑
jgc 蛭
jgd 昊
jge 晴
jgh 题
jgj 蟪
jgk 晤
jgm 师
jgu 蛱
jhe 勖
jhn 畅
jie 蛸
jip 螳
jja 曝
jjg 蛳
jjj 晶
jjq 蝎
jjs 蜾
jkg 蜈
jkm 蜗
jlc 曼
jlg 蝈
jlk 蛔
jlx 螺
jma 蛐
jmd 映
jmf 蚺
jmh 帅
jmq 蚬
jmw 蚋
jnh 暇
jnp 遢
jnt 曳
jnw 曜
jnx 昵
jov 蝼
jpg 暄
jpj 螟
jpl 晕
jpq 蜿
jpv 晏
jqb 昂
jqd 蟾
jqi 晁
jqk 冕
jqr 易
jqt 昴
jqu 昀
jqw 遏
jrt 蜱
jsd 颗
jsf 螵
jsk 蚵
jsq 夥
jsr 晰
jtd 蜂
jtf 蛛
jtg 星
jth 昨
jtj 蜊
jtm 晌
jtn 虼
jto 蟠
jtr 蛾
jtu 蝌
jtx 晦
jty 览
jug 蜷
juj 蝉
juk 蜕
jun 蜣
jur 蛟
jus 蝤
juu 蟮
jvk 昭
jwc 蚣
jwg 暌
jwj 蚧
jwx 晔
jwy 蛉
jxe 蚴
jxh 蚓
jxx 蚍
jyb 暾
jyg 蛀
jyi 景
jyj 蛴
jyk 曩
jyn 蝙
jyr 蚁
jyt 蝣
jyu 螃
jyv 螂
jyx 蟀
kad 喏
kaf 嘞
kag 哐
kaj 噶
kal 喵
kam 咂
kan 呓
kap 唠
kar 哎
kat 哓
kaw 哄
kay 嚆
kbc 嗫
kbm 咄
kbn 吼
kby 吸
kcc 嗓
kce 嗵
kcg 吗
kcq 吮
kct 唉
kcw 唆
kdb 呃
kde 呖
kdf 喹
kdh 嘎
kdj 喱
kdo 咴
kdp 哒
kdu 嘹
kdw 嘶
kdx 咙
keg 咀
keh 嗖
kej 别
kek 咖
kel 嚼
kep 嗳
keq 鹃
kfa 喷
kfc 吱
kfd 嚅
kff 哇
kfh 嗔
kfj 嘲
kfk 嘻
kfl 鄙
kfm 喃
kfo 哧
kfp 噎
kfq 呒
kft 哮
kfw 嚯
kgb 吨
kgd 吴
kge 啄
kgh 吓
kgj 哽
kgk 囔
kgm 嘈
kgn 饕
kgo 哑
kgp 逞
kgq 咧
kgt 唛
kgx 嗉
kha 距
khb 趿
khc 踊
khd 跨
khe 啃
khf 跬
khg 践
khh 趾
khi 踏
khj 踢
khk 躁
khl 盅
khm 蹦
khn 忠
kho 嘘
khp 踪
khq 跑
khr 踬
kht 路
khu 蹉
khv 跟
khw 趴
khx 嘴
kib 啵
kie 哨
kig 咣
kim 唢
kit 嗨
kjb 嘬
kjf 哩
kjh 呻
kjj 唱
kjm 喁
kjn 黾
kjq 喝
kkc 骂
kkd 器
kkf 鄂
kkh 串
kkk 品
kkl 鼍
kkw 咒
kld 咽
kle 喟
klf 嘿
kma 嗣
kmb 郧
kmd 喘
kme 勋
kmf 啁
kmh 吊
kmm 嘤
kmq 哕
kmw 呐
kng 叼
knk 噼
knm 唰
knt 嘱
knx 呢
koo 啖
kou 噗
kov 喽
kpa 噻
kpe 哝
kpg 啶
kpn 嘧
kps 咛
kpt 喀
kpw 嚓
kqg 鸣
kqm 唤
kqn 咆
kqq 哆
kqr 吻
kqt 啕
kqw 吹
kra 唣
krc 呱
krd 嗥
kre 哌
krr 啪
krt 啤
kru 啦
ksf 嘌
ksj 喳
ksk 呵
kss 噤
kta 噬
ktg 唾
kth 咱
ktk 咯
ktm 响
ktn 呜
kto 啾
ktr 哦
ktu 呼
kua 嗟
kub 嗍
kuj 喑
kul 噌
kuv 唼
kuw 嗌
kvb 唧
kvc 呶
kwb 呛
kwc 嗡
kwf 咐
kwg 哈
kwr 嗲
kws 咻
kwv 吩
kww 唑
kwx 哗
kxe 呦
kxh 吲
kxx 哔
kyb 哼
kyc 唷
kyj 哜
kyk 嚷
kyn 咏
kyp 嚎
kyt 嗾
kyu 啼
kyv 啷
kyw 吭
laa 轼
lbw 墼
lcc 轰
ldb 轭
lde 囿
ldh 罘
ldj 罨
ldn 恩
lds 畸
ldt 畴
ldw 辏
lev 嬲
lfc 罢
lff 畦
lfk 辕
lfm 罱
lfn 转
lfo 黑
lfq 园
lft 署
lfu 圉
lgb 囤
lgc 轾
lge 畏
lgh 罡
lgj 畀
lgk 辐
lgm 辆
lhd 罪
lhj 罩
lhn 皿
lkb 辑
lkm 圆
lkw 轵
llg 圜
lmu 辋
lna 辗
lnw 罹
loq 辚
lpd 辖
lpq 畹
lqg 鸭
lqj 蜀
lqp 逻
lqr 囫
lqw 软
lrc 畈
lrf 堑
lrj 暂
lrq 錾
lrs 椠
lsk 轲
ltd 轿
ltg 轶
ltk 辂
ltn 轹
ltu 图
lug 畔
luj 疃
lul 罾
lvk 轺
lvl 辎
lvy 轫
lwe 轸
lwg 输
lwx 轮
lwy 囹
lxx 毗
